LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TRUSTGOV,TOT,PC,A,2015,46.7,
AUS,TRUSTGOV,TOT,PC,A,2016,45.7,
AUS,TRUSTGOV,TOT,PC,A,2017,45.7,
AUS,TRUSTGOV,TOT,PC,A,2018,45.7,
AUT,TRUSTGOV,TOT,PC,A,2015,42.7,
AUT,TRUSTGOV,TOT,PC,A,2016,45.3,
AUT,TRUSTGOV,TOT,PC,A,2017,45.3,
AUT,TRUSTGOV,TOT,PC,A,2018,45.3,
BEL,TRUSTGOV,TOT,PC,A,2015,49.3,
BEL,TRUSTGOV,TOT,PC,A,2016,43.7,
BEL,TRUSTGOV,TOT,PC,A,2017,43.7,
BEL,TRUSTGOV,TOT,PC,A,2018,43.7,
CAN,TRUSTGOV,TOT,PC,A,2015,55.7,
CAN,TRUSTGOV,TOT,PC,A,2016,62.7,
CAN,TRUSTGOV,TOT,PC,A,2017,62.7,
CAN,TRUSTGOV,TOT,PC,A,2018,62.7,
CZE,TRUSTGOV,TOT,PC,A,2015,34,
CZE,TRUSTGOV,TOT,PC,A,2016,39.3,
CZE,TRUSTGOV,TOT,PC,A,2017,39.3,
CZE,TRUSTGOV,TOT,PC,A,2018,39.3,
DNK,TRUSTGOV,TOT,PC,A,2015,47.7,
DNK,TRUSTGOV,TOT,PC,A,2016,55.7,
DNK,TRUSTGOV,TOT,PC,A,2017,55.7,
DNK,TRUSTGOV,TOT,PC,A,2018,55.7,
FIN,TRUSTGOV,TOT,PC,A,2015,48.3,
FIN,TRUSTGOV,TOT,PC,A,2016,55,
FIN,TRUSTGOV,TOT,PC,A,2017,55,
FIN,TRUSTGOV,TOT,PC,A,2018,55,
FRA,TRUSTGOV,TOT,PC,A,2015,33,
FRA,TRUSTGOV,TOT,PC,A,2016,34.3,
FRA,TRUSTGOV,TOT,PC,A,2017,34.3,
FRA,TRUSTGOV,TOT,PC,A,2018,34.3,
DEU,TRUSTGOV,TOT,PC,A,2015,59.7,
DEU,TRUSTGOV,TOT,PC,A,2016,58.7,
DEU,TRUSTGOV,TOT,PC,A,2017,58.7,
DEU,TRUSTGOV,TOT,PC,A,2018,58.7,
GRC,TRUSTGOV,TOT,PC,A,2015,25.7,
GRC,TRUSTGOV,TOT,PC,A,2016,14.3,
GRC,TRUSTGOV,TOT,PC,A,2017,14.3,
GRC,TRUSTGOV,TOT,PC,A,2018,14.3,
HUN,TRUSTGOV,TOT,PC,A,2015,30.7,
HUN,TRUSTGOV,TOT,PC,A,2016,35.7,
HUN,TRUSTGOV,TOT,PC,A,2017,35.7,
HUN,TRUSTGOV,TOT,PC,A,2018,35.7,
ISL,TRUSTGOV,TOT,PC,A,2015,44.5,
ISL,TRUSTGOV,TOT,PC,A,2016,36.5,
ISL,TRUSTGOV,TOT,PC,A,2017,36.5,
ISL,TRUSTGOV,TOT,PC,A,2018,36.5,
IRL,TRUSTGOV,TOT,PC,A,2015,44,
IRL,TRUSTGOV,TOT,PC,A,2016,59.7,
IRL,TRUSTGOV,TOT,PC,A,2017,59.7,
IRL,TRUSTGOV,TOT,PC,A,2018,59.7,
ITA,TRUSTGOV,TOT,PC,A,2015,24,
ITA,TRUSTGOV,TOT,PC,A,2016,22.7,
ITA,TRUSTGOV,TOT,PC,A,2017,22.7,
ITA,TRUSTGOV,TOT,PC,A,2018,22.7,
JPN,TRUSTGOV,TOT,PC,A,2015,36.3,
JPN,TRUSTGOV,TOT,PC,A,2016,38.3,
JPN,TRUSTGOV,TOT,PC,A,2017,38.3,
JPN,TRUSTGOV,TOT,PC,A,2018,38.3,
KOR,TRUSTGOV,TOT,PC,A,2015,29.7,
KOR,TRUSTGOV,TOT,PC,A,2016,33,
KOR,TRUSTGOV,TOT,PC,A,2017,33,
KOR,TRUSTGOV,TOT,PC,A,2018,33,
LUX,TRUSTGOV,TOT,PC,A,2015,69.7,
LUX,TRUSTGOV,TOT,PC,A,2016,72.7,
LUX,TRUSTGOV,TOT,PC,A,2017,72.7,
LUX,TRUSTGOV,TOT,PC,A,2018,72.7,
MEX,TRUSTGOV,TOT,PC,A,2015,33,
MEX,TRUSTGOV,TOT,PC,A,2016,27.7,
MEX,TRUSTGOV,TOT,PC,A,2017,27.7,
MEX,TRUSTGOV,TOT,PC,A,2018,27.7,
NLD,TRUSTGOV,TOT,PC,A,2015,55,
NLD,TRUSTGOV,TOT,PC,A,2016,63.3,
NLD,TRUSTGOV,TOT,PC,A,2017,63.3,
NLD,TRUSTGOV,TOT,PC,A,2018,63.3,
NZL,TRUSTGOV,TOT,PC,A,2015,59.7,
NZL,TRUSTGOV,TOT,PC,A,2016,60.7,
NZL,TRUSTGOV,TOT,PC,A,2017,60.7,
NZL,TRUSTGOV,TOT,PC,A,2018,60.7,
NOR,TRUSTGOV,TOT,PC,A,2015,64.5,
NOR,TRUSTGOV,TOT,PC,A,2016,68.7,
NOR,TRUSTGOV,TOT,PC,A,2017,68.7,
NOR,TRUSTGOV,TOT,PC,A,2018,68.7,
POL,TRUSTGOV,TOT,PC,A,2015,20.7,
POL,TRUSTGOV,TOT,PC,A,2016,43.7,
POL,TRUSTGOV,TOT,PC,A,2017,43.7,
POL,TRUSTGOV,TOT,PC,A,2018,43.7,
PRT,TRUSTGOV,TOT,PC,A,2015,21,
PRT,TRUSTGOV,TOT,PC,A,2016,45.7,
PRT,TRUSTGOV,TOT,PC,A,2017,45.7,
PRT,TRUSTGOV,TOT,PC,A,2018,45.7,
SVK,TRUSTGOV,TOT,PC,A,2015,29,
SVK,TRUSTGOV,TOT,PC,A,2016,34.7,
SVK,TRUSTGOV,TOT,PC,A,2017,34.7,
SVK,TRUSTGOV,TOT,PC,A,2018,34.7,
ESP,TRUSTGOV,TOT,PC,A,2015,22.3,
ESP,TRUSTGOV,TOT,PC,A,2016,28.7,
ESP,TRUSTGOV,TOT,PC,A,2017,28.7,
ESP,TRUSTGOV,TOT,PC,A,2018,28.7,
SWE,TRUSTGOV,TOT,PC,A,2015,54.7,
SWE,TRUSTGOV,TOT,PC,A,2016,51.3,
SWE,TRUSTGOV,TOT,PC,A,2017,51.3,
SWE,TRUSTGOV,TOT,PC,A,2018,51.3,
CHE,TRUSTGOV,TOT,PC,A,2015,77,
CHE,TRUSTGOV,TOT,PC,A,2016,82.3,
CHE,TRUSTGOV,TOT,PC,A,2017,82.3,
CHE,TRUSTGOV,TOT,PC,A,2018,82.3,
TUR,TRUSTGOV,TOT,PC,A,2015,53,
TUR,TRUSTGOV,TOT,PC,A,2016,56,
TUR,TRUSTGOV,TOT,PC,A,2017,56,
TUR,TRUSTGOV,TOT,PC,A,2018,56,
GBR,TRUSTGOV,TOT,PC,A,2015,42,
GBR,TRUSTGOV,TOT,PC,A,2016,42.3,
GBR,TRUSTGOV,TOT,PC,A,2017,42.3,
GBR,TRUSTGOV,TOT,PC,A,2018,42.3,
USA,TRUSTGOV,TOT,PC,A,2015,33,
USA,TRUSTGOV,TOT,PC,A,2016,33.3,
USA,TRUSTGOV,TOT,PC,A,2017,33.3,
USA,TRUSTGOV,TOT,PC,A,2018,33.3,
BRA,TRUSTGOV,TOT,PC,A,2015,29.7,
BRA,TRUSTGOV,TOT,PC,A,2016,20,
BRA,TRUSTGOV,TOT,PC,A,2017,20,
BRA,TRUSTGOV,TOT,PC,A,2018,20,
CHL,TRUSTGOV,TOT,PC,A,2015,33.7,
CHL,TRUSTGOV,TOT,PC,A,2016,26.7,
CHL,TRUSTGOV,TOT,PC,A,2017,26.7,
CHL,TRUSTGOV,TOT,PC,A,2018,26.7,
COL,TRUSTGOV,TOT,PC,A,2015,28.7,
COL,TRUSTGOV,TOT,PC,A,2016,25,
COL,TRUSTGOV,TOT,PC,A,2017,25,
COL,TRUSTGOV,TOT,PC,A,2018,25,
CRI,TRUSTGOV,TOT,PC,A,2015,30.7,
CRI,TRUSTGOV,TOT,PC,A,2016,39,
CRI,TRUSTGOV,TOT,PC,A,2017,39,
CRI,TRUSTGOV,TOT,PC,A,2018,39,
EST,TRUSTGOV,TOT,PC,A,2015,33.7,
EST,TRUSTGOV,TOT,PC,A,2016,39,
EST,TRUSTGOV,TOT,PC,A,2017,39,
EST,TRUSTGOV,TOT,PC,A,2018,39,
ISR,TRUSTGOV,TOT,PC,A,2015,43.3,
ISR,TRUSTGOV,TOT,PC,A,2016,41.7,
ISR,TRUSTGOV,TOT,PC,A,2017,41.7,
ISR,TRUSTGOV,TOT,PC,A,2018,41.7,
LVA,TRUSTGOV,TOT,PC,A,2015,25.3,
LVA,TRUSTGOV,TOT,PC,A,2016,26,
LVA,TRUSTGOV,TOT,PC,A,2017,26,
LVA,TRUSTGOV,TOT,PC,A,2018,26,
LTU,TRUSTGOV,TOT,PC,A,2015,36.3,
LTU,TRUSTGOV,TOT,PC,A,2016,30.7,
LTU,TRUSTGOV,TOT,PC,A,2017,30.7,
LTU,TRUSTGOV,TOT,PC,A,2018,30.7,
RUS,TRUSTGOV,TOT,PC,A,2015,56,
RUS,TRUSTGOV,TOT,PC,A,2016,53.3,
RUS,TRUSTGOV,TOT,PC,A,2017,53.3,
RUS,TRUSTGOV,TOT,PC,A,2018,53.3,
SVN,TRUSTGOV,TOT,PC,A,2015,18,
SVN,TRUSTGOV,TOT,PC,A,2016,24.3,
SVN,TRUSTGOV,TOT,PC,A,2017,24.3,
SVN,TRUSTGOV,TOT,PC,A,2018,24.3,
ZAF,TRUSTGOV,TOT,PC,A,2015,52.7,
ZAF,TRUSTGOV,TOT,PC,A,2016,47.3,
ZAF,TRUSTGOV,TOT,PC,A,2017,47.3,
ZAF,TRUSTGOV,TOT,PC,A,2018,47.3,
